年,一级品类,二级品类,三级品类,品牌,商品名,商品ID,销量(件),销售额(元),均价(元)
2020,彩妆香水,面部彩妆,粉底液,名言堂 Hof,HOF色彩之源乘风破浪的姐姐白冰推荐粉底液遮瑕保湿持久干油皮,584613662774,20107,1852311,92.1
2020,彩妆香水,面部彩妆,粉底液,玫珂菲 Make Up For Ever,【百亿补贴】MAKEUPFOREVER玫珂菲全新清晰无痕粉底液 遮瑕高清,539744646603,4568,1817891,398
2020,彩妆香水,面部彩妆,粉底液,雅妃德 Avid,AVID雅妃德沁水粉底液干皮亲妈补水持久遮瑕水润奶油肌女学生平价,591578306870,25866,1814808,70.2
2020,彩妆香水,面部彩妆,粉底液,自然堂 Chando,自然堂冰肌粉底液滋润干皮亲妈不脱妆遮瑕持久轻薄无暇女学生正品,572742212206,15350,1773055,115.5
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,【11.1直播间专享】肌肤之钥CPB气垫 钻光精华气垫自然遮瑕,628818740892,2606,1772080,680
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,【直播】卡姿兰小夜猫昼夜锁妆粉底液遮瑕保湿持久养肤控油皮亲妈,612394007083,19106,1761975,92.2
2020,彩妆香水,面部彩妆,粉底液,Blank Me,Blank ME小黑盒气垫bb霜粉底霜,598920942367,7078,1754336,247.9
2020,彩妆香水,面部彩妆,粉底液,香奈儿 美妆 Chanel,【官方正品】CHANEL 香奈儿奢华精萃滋养粉底液 遮瑕养肤,629543146927,1525,1753750,1150
2020,彩妆香水,面部彩妆,粉底液,安美 Amy,安美粉底液干油皮亲妈水润保湿控油持久无暇不易脱妆遮瑕BB霜网红,543020006297,40390,1748809,43.3
2020,彩妆香水,面部彩妆,粉底液,Physicians Formula,physiciansformula pf元气舒缓健康粉底液30ml,602824788697,13147,1741366,132.5
2020,彩妆香水,面部彩妆,粉底液,果壳,果壳奢养精华气垫粉底液控油遮瑕保湿提亮肤色持久不脱妆,600343549603,10901,1738509,159.5
2020,彩妆香水,面部彩妆,粉底液,蜜丝佛陀 Maxfactor,【99预售】烟酰胺粉底液膏控油保湿遮瑕防晒雾感裸妆不易脱妆,578091708248,25275,1736212,68.7
2020,彩妆香水,面部彩妆,粉底液,TOM MARK/唐魅可,tommark 遮瑕粉底液持妆保湿bb霜抗氧化防水防汗油皮女学生,622928850439,16377,1735243,106
